question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"Which film was abbas kiarostami the editor for?
",Ten,The Man Who Knew Too Much,The Man Who Knew Too Much,The Man Who Knew Too Much,The Man Who Knew Too Much,The Secret Life of Ali Baba,The Man in the High Castle,The Man Who Knew Too Much,The Man Who Knew Everything,The Secret Life of Ali Baba,Ishq,X-Files,Yash Rajab,The Man Who Knew Everything,Ishq,The Man Who Killed Me,The Secret Life of Ali Baba,The Secret of the Sea,Yash Rajab,The Man Who Knew Everything,Ishq,The House of Usher,Ishti,The Secret of the Sea,The House of the Rising Sun,Yash Rajab,Iranian Nights,The Man Who Knew Everything,Iraq,The Secret of the Sea,Ishti,Yash Rajab,Yash Raja,The Secret of the Sea,Affliction,The Secret Life of Baba,Ishti,Yash Raja,Ayaan,Yash Rajah,Ayatolla,The Man in the High Castle 2,Iraqi,The Assassins,Yash Raja,Ayaan,Ayatolla,The Secret Life of Baba,The Assassin,Yash Raja,The Story of Us,False
"What metro area does ckzz-fm serve
",Vancouver,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Atlanta,Los Angeles,Atlanta,Los Angeles,Atlanta,Atlanta,Los Angeles,Atlanta,Los Angeles,Atlanta,Chicago,Los Angeles,Atlanta,Chicago,Atlanta,Los Angeles,Chicago,Atlanta,Chicago,Los Angeles,Atlanta,Los Angeles County,Miami Beach,Chicago,Atlanta,Chicago,Miami Beach,Los Angeles County,Atlanta,Chicago,Los Angeles County,Los Angeles County,Los Angeles County,Miami,Los Angeles County,Miami,Los Angeles County,New Orleans,Los Angeles County,False
"who wrote the novel eleven minutes
",Paulo Coelho,John Steinbeck,John Green,David Mamet,John Steinbeck,John Green,David Mamet,John Steinbeck,John Green,David Mamet,John Steinbeck,John Green,David Mamet,John Green,John Steinbeck,David Mamet,John Green,Stephen King,John Steinbeck,David Mamet,John Green,David Lean,David Mamet,John Green,John Steinbeck,David Mamet,John Green,John Green,John Steinbeck,James Patterson,John Green,William Gibson,John Steinbeck,James Patterson,John Green,John Green,John Green,John Green,John Green,John Green,Richard Peck,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,David Mamet,False
"which language was spoken in the film bully for pink?
",English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Japanese,French,Japanese,French,Japanese,French,Japanese,French,Japanese,French,Japanese,French,Japanese,Italian,French,Japanese,Italian,French,Japanese,Hindi,Spanish,Italian,Russian,French,Japanese,False
"which artist made the album 3.2.1 
",Zilch,Def Jam,Def Jam,The Black Keys,Def Jam,The Black Keys,Axl Rose,Def Jam,Axl Rose,John Mayer,Def Jam,The Killers,John Mayer,Axl Rose,Sly Stone,Def Jam,Michael Bublé,John Mayer,Sly Stone,Def Jam Records,Def Jam,The Clash,Def Jam Records,Def Jam,Michael Jackson,Axwell,Def Jam,Def Jam Records,The Killer Bee,Axwell,Def Jam,Def Jam Records,Axwell,Slayer,Def Jam,Def Jam Records,Axl,Slayer,Def Jam,Def Jam Records,Slayer,Michael Buble,Def Jam,Def Jam Records,Slayer,Def Jam Records,Slayer,Def Jam Records,Def Jam Records,Def Jam Records,Def Jam Records,False
"what genre is the film buddhas little finger
",drama film,drama film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romantic comedy,romance film,drama film,romantic comedy,romantic comedy,romance film,drama film,romantic comedy,romance film,drama film,romantic comedy,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,silent film,drama film,romance film,adventure film,False
"What is jul kustus's profession?
",baseball player,screenwriter,screenwriter,screenwriter,screenwriter,screenwriter,screenwriter,film director,actor,screenwriter,film director,actor,screenwriter,film director,actor,screenwriter,film director,actor,actor,screenwriter,film director,actor,screenwriter,film director,actor,screenwriter,film director,writer,actor,writer,actor,screenwriter,writer,actor,screenwriter,writer,actor,screenwriter,writer,actor,singer,writer,actor,singer,writer,actor,film producer,singer,film producer,film producer,film producer,False
"who wrote the music for angel heart
",Trevor Jones,David Bowie,David Bowie,David Bowie,David Bowie,John Williams,David Bowie,John Williams,David Bowie,John Williams,Michael Bublé,David Bowie,John Williams,David Bowie,Michael Bublé,John Williams,David Bowie,John Williams,Michael Bublé,John Williams,John Williams,John Williams,Michael Jackson,John Williams,Michael Jackson,John Williams,George Harrison,Michael Jackson,John Williams,John Williams,Michael Jackson,Peter Gabriel,John Williams,Michael Jackson,Richard Rodger,Peter Gabriel,Paul Simon,Michael Buble,John Williamson,Paul Simon,John Williamson,Axelle,John Williamson,Paul Simone,John Williamson,Paul Simone,John Williamson,John Williamson,Paul Simons,John Lenon,John Williamson,False
"Who plays piano?
",Daniel Balavoine,John Lennon,Michael Axelrod,Georges Bizet,Michael Axelrod,Georges Bizet,Peter Weir,John Cage,Michael Axelson,"John Cage, Jr.",John Cage,John Cage,Michael Axelson,"John Cage, Jr.",Roberto Clemente,Michael Axelson,"John Cage, Jr.",Michael Axelrad,Michael Axelson,Michael Axelrad,Roberto Clementi,Roberto Aranda,Paula Schenck,John Cage,Roberto Argento,Michael Levine,Peter Schenck,John Cage,Paula Schenck,Paula Schenk,Michael Levine,Paula Schenk,Pauline Oliveros,Paula Schenck,John F. Szabo,John Sargent,Paula Navarro,David Hockney,John Sullivan,John F. Kennedy,Paula Schenk,John F. Sargent,David Hocking,John Sargent,John F. Kennedy,John F. Sargent,Michael J. Smith,John Sargent,John Lennox,Michael J. Fox,Paula Schenkman,False
"what position is frank funk
",pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,defender,pitcher,defender,pitcher,pitcher,catcher,defender,pitcher,catcher,defender,pitcher,catcher,defender,pitcher,pitcher,catcher,defender,pitcher,catcher,defender,catcher,defender,catcher,defender,catcher,defender,catcher,defender,catcher,defender,catcher,catcher,defender.,False
"who is a football player that played defender?
",Juan Manuel Insaurralde,Aleksandr Kovacs,Yuri Gagarin,Yuri Gagarin,Yuri Gagarin,Paulo Coelho,John O'Brien,Jermaine Dubé,Paulo Coelho,Yuri Gagarini,Luiz Feliciano,Jermaine Dubé,Jermaine Dupuy,Jermaine Dupuis,Alessandro Pisani,Yuri Gagarini,Ivan Ilyinski,Jermaine Dutt,Ivan Ivanovic,Michael O'Brien,Ivan Ilyin,John McLean,John McLeod,"John O'Brien, Jr.",Yuri Gagarino,Ivan Ilyinski,Yuri Gagarini,Ivan Ivanovic,Paulo lvarez,John McLean,Ivan Ilyin,Luiz Felipe,Yuri Gagarino,"John McLean, Sr.",Paulo Sousa,Ivan Ilyinskiy,Ivan Ilyini,John McLean,"John McLeod, Jr.",John McLeod,Paulo Sousa,Michael Aylward,Michael Ayala,Ivan Ilyinskiy,John McLean,"John McLean, Jr.",Yuriyev,Ivan Ilyinskii,Michael Osborne,Ivan Ilyinska,Paulo Colombo,False
"where did thomas griffin pass away
",Rockford,Los Angeles,London,London,Los Angeles,London,Los Angeles,London,Los Angeles,London,London,Los Angeles,London,Los Angeles,London,Los Angeles,London,London,London,London,Newtown,London,London,Newtown,London,Newtown,London,Dublin,Newtown,London,Dublin,Newbury,London,Dublin,Newtown,New Zealand,London,Dublin,Birmingham,Glasgow,London,Dublin,Newbury,Cambridge,Birmingham,Newtown,New Zealand,Newbury,Newtown,Dublin City,Dublin City,False
"Which position did tom patton used to play?
",catcher,midfielder,midfielder,midfielder,midfielder,defender,midfielder,defender,midfielder,defender,midfielder,defender,pitcher,goalkeeper,midfielder,pitcher,defender,goalkeeper,pitcher,defender,goalkeeper,pitcher,defender,pitcher,goalkeeper,pitcher,defender,pitcher,defender,pitcher,defender,pitcher,pitcher,defender,forward,pitcher,forward,pitcher,forward,pitcher,catcher,catcher,catcher,lineman,lineman,lineman,defender.,midfielders,defender.,midfielders,defender.,False
"what film is directed by jonas mekas?
",Reminiscences of a Journey to Lithuania,Irresistible,Idiots,The Night of the Living Dead,Liepja,Lietuvos,Idiota,Liepjas,The Man in the High Castle,Liepaja,Liepja,Liepjak,Irregularities,Liepjas,Liepaja,Iris,Liepja,Liepjak,The Man Who Killed Me,Iris,Liepjas,The Man Who Knew,Liepja,Iris,Liepaja,The Night of the Hunter,The Man Who Knew,Liepja,Iris,The House of the Dead,Liepaja,The Secret of the Sea,The Man Who Knew,Liepja,Iris,Aphrodite,A Little Night Music,Iris,Aphrodite,The Assassins,Aphrodite,The Assassin,The House of the Dead,The Secret of the Sea,The Assassin,The Last Man Standing,The Assassin,The Night Before,Yeni,The Assassin,Yuri,False
"Which country was gregg guenther born in
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,Canada,United Kingdom,United States of America,Australia,Canada,United Kingdom,Australia,Canada,United States of America,Australia,United Kingdom,Canada,Australia,United States of America,Canada,United Kingdom,Australia,Canada,United States of America,United Kingdom,Australia,Canada,Australia,United Kingdom,Canada,United States of America,Australia,Canada,False
"what film in from the genre drama?
",Man and Wife,The Man Who Knew Too Much,The Man Who Knew Too Much,The Night of the Living Dead,The Man Who Knew Too Much,Friend or Foe?,The Man in the High Castle,Friend or Foe,The Night of the Living Dead,The Man in the High Castle,A Man Called Omar,The Secret Life of Dracula,I'll Be There,A Man Called Wanda,The House of the Rising Sun,The Night of the Living Dead,I'm a Man,X-Files,I'll Be There,The Man Who Knew,The Last Man Standing,The Secret of the Black Pearl,I'm a Man,The House of Usher,The Secret of the Black Hole,The Greatest Hits,The Man Who Knew,The Man Who Killed the Dog,The Housekeeper's Daughter,The Last Man Standing,The Secret Life of Dracula,The Greatest Showman,The Man Who Knew,A Little Night Music,The Secret of the Black Pearl,The Night of the Hunter,The Man Who Knew Too Many,A Little Night Music,A Little Night Music,The House of the Dead,The Night of the Hunter,In Search of Love,The Assassin,In Search of Love,The Big Sick,In the Dark,The Night Before Christmas,The Night Before,The Secret of the Sea,The Assassin,In the Dark,False
"what gender is yu luoke?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"Which city was alexandra cassavetes born in
",Los Angeles,New York City,New York City,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Madrid,Los Angeles,Madrid,Los Angeles,Madrid,Madrid,Los Angeles,San Francisco,Madrid,San Francisco,Madrid,Sofia,Madrid,San Francisco,Sofia,Madrid,Sofia,Lisbon,Madrid,Rome,Sofia,Lisbon,Barcelona,Madrid,Rome,Sofia,Lisbon,Barcelona,Madrid,Rome,Sofia,Lisbon,Paris,Barcelona,Madrid,Rome,Sofia,New York city,New York city,New Orleans,New Orleans,New Delhi,New Orleans,New Delhi,False
"is eugen steinach male or female
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"What is mark barnes's gender
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,males,female,female,males,female,males,male,female,males,male,female,female,males,False
"where was paul jenkins born
",Philadelphia,New York City,New York City,New York City,New York City,New York City,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,London,Los Angeles,London,Los Angeles,London,Los Angeles,London,London,London,London,London,New Zealand,London,Newtown,London,New Zealand,London,Newtown,London,New Zealand,London,Newtown,Birmingham,Sydney,Dublin,London,New Zealand,Birmingham,Sydney,Dublin,London,Newtown,Birmingham,Sydney,Dublin,Toronto,False
"What country was estanis gonzález from?
",Spain,Mexico,Mexico,Mexico,Mexico,Spain,Mexico,Spain,Mexico,Spain,Mexico,Spain,Mexico,Spain,Mexico,Spain,Mexico,Spain,Mexico,Spain,Mexico,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Mexico City,Mexico City,Mexico City,False
"what is a game that has a multiplayer game mode?
",Joint Task Force,Xenogears,Xenogears,Apocalyptic Adventure,Xenogears,Super Smash Bros.,Star Wars Battlefront II,Apocalyptica,Star Wars: The Last Jedi,Angry Birds,Battlefield: World War II,Xenogears,Angry Birds 2,Apocalyptic Adventure,Star Wars: The Phantom Menace,Super Smash Bros.,The Sims 2,Angry Birds,Angry Birds 2,Apocalyptica,Xenogears,Battlefield: World War II,The Sims 2,Super Smash Bros. Ultimate Team,Super Smash Bros. Ultimate,Superheroes,The Sims 3,Unreal Tournament 2,The Sims 3,Super Smash Bros. Ultimate Team,The Sims 2,Super Smash Bros. Ultimate,Xenoverse,Awakening,Battlefield: World War II,The Sims 2,Unreal Tournament,Battlefield V,The Sims 3,Superheroes II,Xenoverse,Super Mario World,The Sims 2,Battlefield V,Avalanche,Super Mario World II,Xenoverse 2,Super Mario World,The Sims 3,Star Wars Battlefront,Battlefield V,False
"what gender is cesare dandini?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"what caused manuel gayoso de lemos's death
",yellow fever,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,tuberculosis,myocardial infarction,tuberculosis,myocardial infarction,tuberculosis,myocardial infarction,tuberculosis,myocardial infarction,esophageal cancer,tuberculosis,myocardial infarction,myocardial infarction,tuberculosis,cancer,myocardial infarction,pulmonary embolism,cancer,cancer,myocardial infarction,pulmonary embolism,pulmonary emphysectomy,cancer,cancer,myocardial infarction,myocardial infarction.,pulmonary emphysectomy,cancer,pulmonary embolism,myocardial infarction,cancer,pulmonary emphysectomy,cancer,myocardial infarction.,myocardial infarction,cancer,cancer,myeloma,myocardial infarction,cancer,cancer,myeloma,myocardial infarction,cancer,myocardial infarction.,myocardial infarction,False
"what is a crime drama film on netflix?
",The Limey,The Night of the Living Dead,The Night of the Living Dead,The Black Dahlia,The Night of the Living Dead,The Dark Side of the Moon,The Black Dahlia,The Night of the Living Dead,The Dark Side of the Sun,The Dark Side of the Moon,The Black Dahlia,The Night of the Living Dead,X-Files,The Dark Side of the Sun,The Man Who Knew,The Dark Side of the Moon,The Black Dahlias,The Black Dahlia,X-Files,The Man in the High Castle,I'll Be There,The Man Who Knew,The Killer in the Head,The Night of the Living,The Black Dahlias,The Invisible Man,The Dark Side of the Sun,I'm a Man,The Dark Knight Rises,The Killer in the Box,I'll Be There,The Night of the Hunter,Spies in the Dark,The Killer in the Head,The Night of the Hunter,The Killer,The Killer in the Box,The Black Dahlias,The Dark Side,The Invisible Man,The Killing,The Killer in the Head,The Assassin,The Conviction,The Killer,The Killing Fields,The Black Dahlias,The Dark Side,The Confessions,The Assassin,Spies in the Night,False
"Name a work written by edgar allan poe
",The Conchologist's First Book,Irresistible,The Great Gatsby,The Greatest Hits,Idle Hands,The Assassin's Apprentice,The Greatest Hits,The Black Dahlia,The Man Who Knew Everything,The Assassin's Apprentice,The Greatest Hits,The Secret of the Sea,Into the Deep Blue Sea,The Man Who Knew Everything,The Greatest Hits,The Assassin's Apprentice,The Secret of the Sea,A Little Night Music,I'll Be There,I'm a Man,A Little Night Music,Into the Woods,Into the Darkness,The Secret of the Sea,The Black Hole,I'll Be There,The Secret Life of the World,A Little Night Music,The Greatest Hits,Into the Darkness,I'll Be There,The Secret of the Sea,A Little History of the World,The Black Dahlias,I'll Be There,The Secret of the Sea,In Search of Love,The Secret Life of the World,Into the Deep,In Search of the Lost World,Into the Dark,In Search of Love,Idle Hand,A Little History of America,In Search of the Lost Soul,The Last Word,In Search of the Truth,Into the Dark,In the Dark,The Last Stand,In the Dark,False
"what is the name of a horror remake
",It's Alive,The Night of the Living Dead,The Night of the Living Dead,The Night of the Living Dead,The Nightmare Before Christmas,The Dark Side of the Moon,The Night of the Living Dead,The Intimidators,The Intimidator,The Dark Side of the Moon,The Haunting,The Night of the Living Dead,The Dark Side of the Moon,The Intimidators,The Intimidator,The Haunting,The Haunted House,The Dark Side of the Moon,The Night of the Living Dead,The Haunting,Into the Darkness,The Haunted House,Into the Darkness,X-Files,Insidious,The Dark Side of the Moon,Into the Darkness,The Invisible Man,The Black Hole,The Haunting,Screaming Screams,Scream Queens,The Invasion,Screaming Screamer,Scream Queens,Screaming Screams,Into the Night,Screaming Screamer,Scream Queens,The Black Hole,Screaming Scream,Screaming Screams,Scream Queen,Screaming Scream,Into the Night,Scream Queens,Scream Queen,Screaming Scream,Scream Factory 2,Scream Queen,Spectre,False
"what type of music can be found on the album chapter one: latin america
",free jazz,pop music,pop music,alternative rock,pop music,rock music,alternative rock,pop music,alternative rock,funk,rock music,pop music,alternative rock,funk,pop music,alternative rock,funk,country music,rock music,alternative rock,funk,pop music,funk,country music,rock music,jazz,funk,pop music,jazz,jazz,funk,country music,rock music,jazz,funk,pop music,jazz,funk,jazz,country music,rock music,funk,pop music,country music,rock music,funk,country music,rock music,alternative metal,alternative metal,alternative metal,False
"what is howard scott's gender
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,males,female,female,males,female,males,female,males,female,male,female,males,male,female,males,female,male,False
"what is an album recorded by ane brun 
",It All Starts with One,The Best of Ane Brun,The Best of Ane,The Best of Ane Brun,The Best of Ane,The Best of Ane Brun,Ane Brun,The Best of Ane,Ane Blonde,The Best of Ane Brun,Ane Brun,The Best of Ane,Ane Blonde,The Best of Ane Brun,The Best of Ane brun,The Best of Ane,Ane Brun,Ane Blonde,The Best of Ane Brun,,The Best of Ane brun,The Best of Ane,Ane Brun,,Ane Blonde,Ane Brun,The Best of Ane brun,Aesop,Aesthetic,I'll Be There,'Ane',The Best of Ane Brun,Ane Brun,Ane,Ane Blonde,Aesthetic,Aesop,The Best of Ane,The Best of Ane brun,Ane Brun,Ane,Ane Blonde,Aesthetic,Aesop,Aesthetics,Ane Brun,Ane,Aesthetic,,Aesop,Aesthetics,False
"Who is the artist from the album give me a future
",The Everly Brothers,Def Leppard,Def Leppard,The Lumineers,The Black Keys,Def Jam,The Black Keys,Def Jam,Avicii,Def Jam,The Killers,The Black Keys,Def Jam,Idlewild,Iggy Pop,The Killers,Axl Rose,Def Jam,Sly Stone,Iggy Pop,Axl Rose,Sly Stone,The Killers,Def Jam,The Clash,Ira Glass,Axl Rose,Sly Stone,Def Jam Records,Def Jam,Axwell,Axl Rose,Def Jam,Def Jam Records,Axwell,Def Jam,Def Jam Records,Axwell,Def Jam,Def Jam Records,Axwell,Def Jam,Def Jam Records,Axwell,The Black Keys Band,Def Jam Records,Slayer,Def Jam Records,The Black Keys Band,Slayer,Def Jam Records,False
"Name a novel.
",The Spire,A Tale of Two Cities,Into the Woods,I'll Be There,The Assassin's Apprentice,Into the Wilderness,The Assassin's Daughter,The Secret Life of a Man,Into the Woods,The Secret Life of a Woman,I'm a Man,I'm a Girl,A Little Night Music,I'll Be There,The Secret of the Sea,Into the Darkness,The Assassin's Apprentice,The Assassin's Daughter,I'm a Boy,I'm a Man,A Little Night Music,I'll Be There,Into the Darkness,The Secret Life of a Man,The Assassin's Apprentice,A Tale of Two Sisters,The Secret Life of a Woman,Into the Woods,I'm a Girl,The Assassin's Daughter,The Secret of the Sea,A Little Night Music,I'll Be There,Into the Darkness,Xenophon,I'm a Boy,I'm a Man,A Little Night Music,The Secret Life of a Man,The Secret of the Black Pearl,The Secret Life of a Woman,The Secret Life of the Count,The Assassin's Apprentice,A Little Bit of Everything,The Assassin's Daughter,The Secret of the Black Cat,The Secret Life of the Dead,The Secret of the Sea,The Secret Life of the Count,The Secret Life of the Assassin,Into the Wild,False
"who plays the guitar
",Iggy Pop,John Lennon,John Lennon,John McLaughlin,John Lennon,John McLaughlin,John Lennon,John McLaughlin,John Lennon,John McLaughlin,John Lennon,John McLaughlin,Paul McCartney,John Lennon,John McLaughlin,Dave Brubeck,Paul McCartney,John Hiatt,John Grisham,John Cage,Dave Brubeck,John McLean,John Cage,Dave Brubeck,John McLean,John Cage,John Cage,David Bowie,David Bowie,Dave Platt,John Cage,Joe Squier,Joe Squires,David Bowie,Dave Platt,John Cage,Joe Squier,John Cage Jr.,Dave Platt,Paul McCarty,Joe Squire,John Cage Jr.,Mike Squier,Paul McCarty,Joe Squire,Mike Sullivan,Mike Squire,John Sullivan,Erick Adler,Joe Sacco,Mike Sullivan,False
"which country is robbie fulks from 
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,Australia,Australia,United Kingdom,United States of America,Australia,United Kingdom,Australia,United States of America,United Kingdom,Australia,Canada,United States of America,Australia,United Kingdom,Canada,Australia,United States of America,Canada,United Kingdom,Australia,Canada,United States of America,United Kingdom,Australia,Canada,Australia,United Kingdom,United States of America,Canada,False
"who was the writer of coven
",Mark Borchardt,Michael Connelly,Michael Connelly,Michael Connelly,Michael Connelly,David Mamet,John Green,David Mamet,Frank Capra,Stephen King,John Green,David Mamet,John Steinbeck,David Lean,Stephen King,John Green,David Mamet,David Lean,Stephen King,John Green,Frank Herbert,David Mamet,John Green,John Steinbeck,David Lean,John Green,David Mamet,John Green,David Mamet,John Green,John Green,John Green,James Patterson,John Green,James Patterson,John Green,Robert Harris,John Green,Robert Harris,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,John Greene,False
"who is an artist under columbia records
",Big L,Jermaine Dupri,John Lennon,Jermaine Dupri,John Lennon,Yoko Ono,Snoop Dogg,John Lennon,Snarky Puppy,Yoko Ono,Snoop Dogg,John Lennon,Snarky Puppy,Yoko Ono,Snoop Dogg,Yoko Ono,Xylophone,David Bowie,Sonny & Cher,Yoko Ono,David Bowie,Yoko Ono,Sonny & Cher,John Mayer,David Guetta,John Mayer,David Guetta,John Mayer,John Mayer,Sonny Yen,Sonny & Cheri,Axl Rose,Axel,J. Cole,Axl Rose,Sonny Yen,Axel,J. Cole,Xavier,Axl Rose,Axel,J. Cole,Xylo,Axl Rose,Sally Potter,Axel,Axe,Yung-Yi,J-Pop,Sally Potter,Axe,False
"who was the author of the crown of dalemark
",Diana Wynne Jones,Stephenie Meyer,Stephenie Meyer,Michael Connelly,Robert Louis Stevenson,Stephenie Meyer,A. J. James,Michael Connelly,Robert Louis Stevenson,Michael Crichton,Michael Connelly,Robert Louis Stevenson,Michael Crichton,John Steinbeck,A. J. James,John Green,Robert Louis Stevenson,David Mamet,John Steinbeck,John Green,A. J. James,David Mamet,John Steinbeck,John Green,David Mamet,Frank Herbert,John Green,David Mamet,Judith Lean,John Green,Judith Butler,David Mamet,John Green,Judith Butler,John Green,Stephen King,Judith Butler,William Gibson,John Green,Judith Leigh,Stephen King,Judith Butler,John Green,Stephen King,"Frank Herbert, Jr.",John Green,Judith Leane,"Stephen King, Jr.",John Green,"Stephen King, Jr.",Judith Leaning,False
"what country released a movie called four's a crowd
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United States Of America,United Kingdom,Canada,France,Australia,United Kingdom,United States of America,Japan,Canada,United States Of America,France,False
"what nationality is rebecca neuenschwander
",United States of America,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Canada,Canada,Australia,United Kingdom,Canada,Germany,Australia,United Kingdom,Canada,Germany,Australia,United Kingdom,Canada,Germany,Australia,Canada,Germany,Australia,United Kingdom,Canada,Germany,Australia,United Kingdom,Canada,Germany,Australia,United Kingdom,Canada,Germany,Australia,Canada,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,False
"Name a work written by ray bradbury
",The Long Rain,The Intimidators,The Intimidator,The Dark Side of the Moon,The Greatest Hits,The Black Dahlia,The Dark Side of the Sun,The Dark Side of the Moon,The Greatest Hits,The Dark Side of the Sun,Mythbusters,The Assassin's Apprentice,The Dark Side of the Moon,The Greatest Hits,The Secret of the Sea,I'll Be There,A Little Night Music,Into the Darkness,Insomnia,The Dark Side of the Sun,Insanity,The Secret of the Sea,The Black Hole,I'll Be There,The Secret of the Black Pearl,A Little Night Music,Into the Darkness,Mythbuster,The Secret Life of the World,A Little Night Music,The Secret of the Sea,The Secret of the Black Pearl,The Secret Life of Harry Potter,The Black Dahlias,A Little Night Music,The Dark Side,Into the Deep,The Secret of the Sea,The Secret Life of the Dead,The Secret Life of the World,A Little Bit of Everything,The Dark Side,Into the Deep,The Last Words,In the Darkness,Into the Dark,In the Dark,The Secret Life of the Earth,In the Darkness,The Dark Side,The Secret of the Black Pearl,False
"who edited rescue dawn
",Joe Bini,David Croft,David Croft,David Cronenberg,David Lean,David Croft,David Lean,David Lean,James Wan,James Horner,David Lean,David Bowie,James Wan,James Horner,David Lean,James Wan,James Horner,David Bowie,Robert Greenwald,David Lean,David O. Russell,John Carpenter,John Cage,David O. Russell,John Cage,John Carpenter,Michael Mann,John Carpenter,Michael Mann,John Cage,Michael Mann,John Carpenter,Michael Mann,David Lynch,John Carpenter,Michael Mann,John Ford,David Lynch,Michael Mann,John Carpenter,Michael Moore,Michael Mannion,Michael Manning,Michael Mannion,Michael Manning,Michael Mannion,Michael Manning,David Leitch,Michael Manning,Michael Manning,John Forde,False
